zipcode,population,area (sq mi),pop_density
60661,7792,0.297,26235.69024
11236,93877,3.599,26084.19005
2163,2582,0.099,26080.80808
11417,28967,1.119,25886.50581
76129,2833,0.11,25754.54545
19147,36228,1.408,25730.11364
7522,20883,0.822,25405.10949
11354,54878,2.178,25196.51056
29423,956,0.038,25157.89474
19102,4705,0.189,24894.17989
7302,36352,1.463,24847.57348
90014,7005,0.283,24752.65018
7010,23594,0.955,24705.75916
21890,3240,0.132,24545.45455
2120,15181,0.621,24446.05475
43403,5004,0.205,24409.7561
90011,103892,4.286,24239.85068
24142,2470,0.102,24215.68627
2118,26498,1.096,24177.0073
11222,36934,1.535,24061.23779
94704,25592,1.068,23962.54682
10035,33969,1.424,23854.63483
11232,28265,1.191,23732.15785
94122,56023,2.365,23688.37209
33130,26108,1.103,23669.99093
94112,79407,3.367,23583.90258
915,32820,1.397,23493.19971
11231,33336,1.422,23443.03797
2139,36349,1.558,23330.55199
19139,41271,1.77,23316.94915
94117,39169,1.688,23204.38389
11428,19168,0.832,23038.46154
16699,1469,0.064,22953.125
7107,37650,1.646,22873.63305
20057,3888,0.17,22870.58824
20037,14642,0.642,22806.85358
2446,29311,1.287,22774.66977
19149,55006,2.428,22654.85997
11436,17949,0.793,22634.30013
94123,23088,1.022,22590.99804
65215,203,0.009,22555.55556
10475,40931,1.829,22378.89557
7055,69816,3.137,22255.65827
11418,36256,1.632,22215.68627
60613,48281,2.175,22198.16092
2144,23891,1.081,22100.83256
7106,31298,1.42,22040.84507
7304,41233,1.871,22037.94762
90037,62276,2.837,21951.35707
94114,31124,1.426,21826.08696
11691,60035,2.751,21822.97346
11105,36688,1.682,21812.12842
2109,3771,0.173,21797.68786
60647,87291,4.019,21719.58199
90270,27372,1.262,21689.38193
11239,13393,0.618,21671.52104
29424,389,0.018,21611.11111
44901,2501,0.117,21376.06838
11420,44354,2.077,21354.83871
60614,66617,3.12,21351.60256
47406,4730,0.222,21306.30631
60622,52548,2.47,21274.49393
11423,29987,1.415,21192.22615
7310,12838,0.606,21184.81848
11412,34882,1.647,21179.11354
11433,32687,1.549,21102.00129
10461,50502,2.395,21086.43006
19146,35113,1.689,20789.22439
16546,1154,0.056,20607.14286
22209,12314,0.6,20523.33333
912,6801,0.333,20423.42342
90004,62180,3.048,20400.26247
19143,64849,3.181,20386.35649
60625,78651,3.875,20297.03226
19717,3770,0.186,20268.8172
90255,75066,3.717,20195.31881
2199,1146,0.057,20105.26316
94709,11806,0.588,20078.23129
60645,45274,2.258,20050.48716
19133,26063,1.3,20048.46154
94103,27170,1.358,20007.36377
19120,68104,3.404,20007.05053
91205,37810,1.891,19994.71179
7104,50478,2.531,19943.89569
7514,18289,0.922,19836.2256
60605,24668,1.245,19813.65462
21252,2872,0.145,19806.89655
98101,10238,0.519,19726.39692
94118,38319,1.949,19660.85172
7307,43812,2.235,19602.68456
925,8696,0.447,19454.1387
5405,4406,0.227,19409.69163
7513,11508,0.593,19406.40809
11429,25105,1.294,19401.08192
7306,52669,2.723,19342.26956
11358,37546,1.949,19264.23807
19130,24870,1.294,19219.4745
90804,40311,2.114,19068.59035
33128,7562,0.397,19047.85894
90028,28714,1.524,18841.20735
60659,38104,2.027,18798.22398
1902,45139,2.403,18784.43612
91402,69817,3.727,18732.76093
19138,32273,1.723,18730.70226
10550,37144,1.986,18702.92044
90003,66266,3.551,18661.22219
90034,57964,3.112,18625.96401
1086,687,0.037,18567.56757
60639,90407,4.878,18533.62034
7111,53942,2.916,18498.62826
2141,11910,0.644,18493.78882
11692,18540,1.003,18484.54636
90038,28917,1.566,18465.51724
60618,92084,4.997,18427.85671
60651,64267,3.495,18388.26896
55814,772,0.042,18380.95238
90813,58911,3.209,18358.05547
60615,40603,2.212,18355.78662
7501,33543,1.836,18269.60784
2145,25439,1.396,18222.77937
911,8623,0.476,18115.54622
11434,59129,3.268,18093.32925
21231,15748,0.871,18080.36739
90304,28210,1.567,18002.55265
10601,11376,0.634,17943.21767
7108,24386,1.372,17774.05248
60641,71663,4.042,17729.58931
19140,54133,3.057,17707.88355
20001,38551,2.184,17651.55678
7202,40849,2.316,17637.73748
70402,1514,0.086,17604.65116
7208,31219,1.774,17598.08343
80203,18839,1.073,17557.31594
19142,29595,1.686,17553.38078
90013,11772,0.671,17543.96423
10705,38777,2.213,17522.36783
90044,89779,5.137,17476.93206
11367,41047,2.355,17429.72399
19141,31376,1.813,17306.12245
19134,60675,3.509,17291.25107
19104,51808,3.015,17183.41625
90403,24525,1.428,17174.36975
60623,92108,5.371,17149.13424
71209,154,0.009,17111.11111
19122,21653,1.269,17063.04177
90201,101279,5.938,17056.07949
90063,55758,3.272,17040.95355
90018,49310,2.896,17026.9337
94134,40798,2.398,17013.34445
90062,32821,1.936,16952.99587
98104,13095,0.774,16918.60465
11365,42252,2.499,16907.56303
94116,43698,2.587,16891.37998
7502,15406,0.913,16874.04162
7524,12709,0.754,16855.43767
94612,14389,0.855,16829.23977
11379,34821,2.075,16781.20482
19132,36268,2.164,16759.70425
60629,113916,6.802,16747.42723
90002,51223,3.062,16728.60875
33135,36066,2.156,16728.20037
7018,28322,1.695,16709.14454
19125,22958,1.376,16684.59302
7206,26636,1.598,16668.33542
18102,49779,2.996,16615.15354
90007,40920,2.467,16586.94771
90019,64458,3.888,16578.7037
92701,53908,3.268,16495.71603
96815,31470,1.916,16424.84342
7022,13835,0.843,16411.62515
90025,42147,2.569,16405.99455
38152,834,0.051,16352.94118
20036,5435,0.333,16321.32132
90001,57110,3.502,16307.8241
2135,42780,2.634,16241.45786
917,21053,1.297,16232.07402
2134,21503,1.326,16216.44042
11361,28606,1.766,16198.188
60301,2539,0.157,16171.97452
90024,47452,2.937,16156.6224
2863,19385,1.2,16154.16667
44101,565,0.035,16142.85714
91203,13220,0.819,16141.63614
90026,67869,4.224,16067.47159
98102,20756,1.292,16065.01548
94105,5846,0.364,16060.43956
10302,19088,1.189,16053.82675
94606,36672,2.287,16034.98032
21217,37111,2.315,16030.66955
19121,36572,2.283,16019.27289
10018,5229,0.327,15990.82569
7650,19601,1.226,15987.76509
7017,35945,2.252,15961.36767
2124,47783,2.995,15954.2571
60649,46650,2.929,15926.93752
11411,18556,1.168,15886.9863
2143,24514,1.544,15876.94301
2119,25346,1.598,15861.07635
19082,40997,2.585,15859.57447
2150,35124,2.215,15857.33634
92703,65445,4.129,15850.08477
7086,12554,0.793,15831.02144
7311,522,0.033,15818.18182
2127,31799,2.023,15718.73455
2125,33295,2.133,15609.47023
91046,156,0.01,15600
7504,12882,0.829,15539.20386
90302,29415,1.893,15538.82726
19150,23378,1.508,15502.65252
8629,12331,0.796,15491.20603
94601,50294,3.247,15489.37481
91405,51145,3.31,15451.66163
54946,108,0.007,15428.57143
77081,47860,3.104,15418.81443
91101,20460,1.33,15383.45865
7103,32698,2.127,15372.82558
53703,27958,1.82,15361.53846
47809,2687,0.175,15354.28571
55404,27121,1.767,15348.61347
90022,67179,4.383,15327.17317
16802,12764,0.834,15304.55635
1841,47225,3.088,15293.06995
11694,20408,1.336,15275.4491
2140,17607,1.155,15244.15584
90716,14184,0.931,15235.23093
11422,30425,2.004,15182.13573
33141,35249,2.323,15173.91304
80310,6578,0.434,15156.68203
25185,1042,0.069,15101.44928
14627,2320,0.154,15064.93506
96814,18721,1.245,15036.94779
29202,135,0.009,15000
90033,48852,3.267,14953.16804
10701,63393,4.24,14951.17925
90036,36865,2.47,14925.10121
11427,23593,1.581,14922.83365
2121,25978,1.745,14887.10602
11356,23438,1.577,14862.39696
94703,19846,1.336,14854.79042
29733,1751,0.118,14838.98305
94107,26599,1.794,14826.64437
11004,14016,0.949,14769.23077
90301,36568,2.478,14757.06215
6901,6828,0.465,14683.87097
7112,26417,1.802,14659.82242
10553,10170,0.695,14633.09353
19106,11740,0.803,14620.17435
1003,10372,0.711,14587.90436
60165,4946,0.34,14547.05882
98447,842,0.058,14517.24138
907,17458,1.204,14500
15213,30844,2.129,14487.55284
90262,69745,4.832,14433.98179
21202,22832,1.584,14414.14141
95116,51496,3.591,14340.29518
22201,33476,2.336,14330.47945
33139,38613,2.695,14327.64378
15232,11374,0.795,14306.91824
22203,21850,1.528,14299.73822
97209,14950,1.046,14292.54302
80488,157,0.011,14272.72727
78705,31340,2.196,14271.40255
91204,16032,1.124,14263.3452
923,29086,2.041,14250.85742
19135,33091,2.323,14244.94189
29614,2720,0.192,14166.66667
90814,19131,1.354,14129.24668
921,37763,2.673,14127.57202
91601,37180,2.65,14030.18868
11364,34555,2.468,14001.21556
7024,35353,2.531,13967.99684
7026,30555,2.188,13964.80804
11357,39150,2.811,13927.42796
90250,93193,6.694,13921.87033
10308,27357,1.968,13900.91463
10310,24962,1.796,13898.6637
60644,48648,3.504,13883.56164
90035,28418,2.048,13875.97656
60602,1204,0.087,13839.08046
19126,15758,1.143,13786.52668
7050,30074,2.196,13694.89982
19124,66691,4.875,13680.20513
90254,19506,1.427,13669.23616
98122,31454,2.314,13592.91271
38505,1806,0.133,13578.94737
11378,34981,2.577,13574.31121
68178,1573,0.116,13560.34483
11360,18884,1.393,13556.35319
965,9134,0.674,13551.92878
37315,1556,0.115,13530.43478
33125,52677,3.905,13489.62868
91606,44958,3.333,13488.74887
54307,1092,0.081,13481.48148
23806,2251,0.167,13479.04192
94610,29287,2.182,13422.08983
90042,62430,4.655,13411.38561
