zipcode,population,area (sq mi),pop_density
28729,2894,4.377,661.183459
85757,16988,25.698,661.0631178
44439,115,0.174,660.9195402
20112,25833,39.102,660.6567439
28056,31418,47.563,660.5554738
49127,10694,16.19,660.5311921
47654,70,0.106,660.3773585
17057,21329,32.302,660.2996718
15624,410,0.621,660.2254428
72457,132,0.2,660
13790,19104,28.961,659.6457305
8027,4888,7.411,659.5601133
21784,37941,57.532,659.4764653
14592,110,0.167,658.6826347
6712,9376,14.235,658.6582367
17237,1917,2.911,658.5365854
67226,17757,26.971,658.3738089
36559,233,0.354,658.1920904
16151,77,0.117,658.1196581
34289,2199,3.343,657.792402
93012,34617,52.723,656.5825162
7933,3251,4.953,656.3698768
62522,16630,25.343,656.1969775
32561,7899,12.038,656.1721216
45808,349,0.532,656.0150376
43547,284,0.433,655.8891455
1529,3190,4.864,655.8388158
2054,7891,12.033,655.7799385
31722,494,0.754,655.1724138
21653,114,0.174,655.1724138
25701,23284,35.541,655.1306941
36113,1902,2.904,654.9586777
1224,182,0.278,654.676259
23696,3669,5.609,654.1272954
15044,27049,41.358,654.0209875
3824,14638,22.413,653.1031098
80109,17219,26.377,652.8035789
12574,329,0.504,652.7777778
78575,8056,12.342,652.7305137
32757,23746,36.383,652.6674546
28120,19807,30.36,652.4044796
6787,7975,12.235,651.8185533
40047,19345,29.695,651.4564742
1611,2242,3.442,651.3654852
12302,27582,42.348,651.3176537
81520,13447,20.655,651.0288066
26563,381,0.586,650.1706485
78558,882,1.357,649.963154
94945,17167,26.418,649.822091
48627,141,0.217,649.7695853
7723,1020,1.57,649.6815287
7846,89,0.137,649.6350365
34669,12648,19.47,649.614792
33035,13497,20.778,649.5812879
39553,17174,26.439,649.5707099
37409,2851,4.391,649.2826235
26435,98,0.151,649.0066225
57117,61,0.094,648.9361702
28036,14654,22.585,648.8377242
98205,12283,18.943,648.418941
95348,30805,47.509,648.4034604
13051,153,0.236,648.3050847
84121,41702,64.369,647.8584412
18960,12473,19.26,647.6116303
34420,16287,25.153,647.5171948
683,33772,52.189,647.1095442
47172,16059,24.817,647.0967482
3110,21203,32.777,646.8865363
17005,368,0.569,646.7486819
36277,5420,8.383,646.5465824
62825,203,0.314,646.4968153
62292,947,1.465,646.4163823
37849,25459,39.413,645.9543805
48840,12501,19.354,645.9129896
1525,290,0.449,645.8797327
25313,13436,20.805,645.8062966
46517,23764,36.799,645.7784179
45361,288,0.446,645.7399103
17983,1620,2.509,645.675568
92270,17220,26.675,645.5482662
19355,24760,38.358,645.4976798
10930,8958,13.879,645.4355501
14048,15072,23.368,644.9845943
78130,59546,92.336,644.8839023
2917,13762,21.341,644.8620027
44202,19561,30.336,644.8114451
27873,397,0.616,644.4805195
84765,6143,9.534,644.3255716
8328,1347,2.091,644.1893831
14480,833,1.294,643.74034
29209,33324,51.769,643.7056926
70087,8122,12.618,643.6836266
37701,6817,10.593,643.5381856
18625,491,0.763,643.5124509
40059,16708,25.969,643.3824945
2718,6655,10.349,643.0573002
1534,5631,8.758,642.9550126
44640,151,0.235,642.5531915
46377,386,0.601,642.2628952
80132,19637,30.576,642.2357405
92040,41281,64.296,642.0461615
50009,16136,25.139,641.8711961
61323,111,0.173,641.6184971
55068,27490,42.864,641.3307204
26031,1755,2.737,641.2130069
19473,15726,24.531,641.0664058
64833,125,0.195,641.025641
44707,9208,14.37,640.7794015
21050,18202,28.412,640.644798
60012,11120,17.36,640.5529954
32137,37821,59.049,640.501956
13031,15551,24.29,640.2223137
30905,8955,13.988,640.1915928
8008,6975,10.896,640.1431718
46345,249,0.389,640.1028278
11947,416,0.65,640
27573,11414,17.835,639.9775722
27284,51136,79.904,639.9679616
34113,17971,28.099,639.5601267
15934,218,0.341,639.2961877
20871,13130,20.546,639.0538304
8527,54392,85.163,638.6811174
70433,31133,48.752,638.5994421
13163,339,0.531,638.4180791
28594,3655,5.726,638.3164513
19970,6170,9.67,638.0558428
72677,525,0.823,637.9100851
8070,13059,20.483,637.5530928
6385,15893,24.945,637.1216677
54902,22375,35.12,637.1013667
1095,14319,22.495,636.5414537
1984,4875,7.66,636.4229765
1833,8183,12.859,636.3636364
70068,34101,53.596,636.2601687
30012,27258,42.843,636.2299559
43953,11553,18.159,636.2134479
8242,3216,5.058,635.8244365
78339,632,0.994,635.8148893
80108,22612,35.568,635.739991
34491,27454,43.199,635.5239705
75604,29934,47.103,635.5009235
2332,15059,23.703,635.3204236
73128,4200,6.614,635.0166314
61857,153,0.241,634.8547718
34465,15870,25.003,634.7238331
41048,13959,21.993,634.7019506
63703,8182,12.893,634.6079268
65809,11257,17.739,634.5904504
19457,125,0.197,634.5177665
21866,78,0.123,634.1463415
72085,220,0.347,634.0057637
16046,14396,22.732,633.2922752
23860,31970,50.493,633.1570713
62089,489,0.773,632.6002587
34731,10815,17.103,632.3452026
42367,667,1.055,632.2274882
72703,28261,44.719,631.9685145
27540,29363,46.467,631.9108184
72923,4735,7.494,631.8388044
78537,39454,62.479,631.476176
20860,2396,3.795,631.3570487
18955,1662,2.634,630.9794989
18434,4192,6.644,630.9452137
21619,5848,9.27,630.8522114
2375,9188,14.569,630.6541286
43217,2602,4.126,630.6349976
48001,11986,19.029,629.8807084
63049,15896,25.242,629.7440773
72120,31610,50.196,629.7314527
12933,17,0.027,629.6296296
20872,13104,20.813,629.6064959
61554,43810,69.607,629.3907222
29203,39843,63.325,629.1827872
49321,16241,25.826,628.8623867
48381,12605,20.054,628.5529072
53083,20362,32.402,628.4179989
49417,29183,46.448,628.2940062
45782,343,0.546,628.2051282
62239,4954,7.887,628.1222264
44647,18015,28.697,627.7659686
79763,34079,54.299,627.6174515
18321,1711,2.727,627.4294096
44281,29954,47.743,627.4008755
47324,138,0.22,627.2727273
43468,451,0.719,627.2600834
75693,6869,10.954,627.0768669
48111,42313,67.488,626.9707207
76543,30430,48.537,626.9443929
46278,8197,13.075,626.9216061
2670,1307,2.085,626.8585132
18064,24073,38.414,626.6725673
72714,11880,18.96,626.5822785
79821,7142,11.402,626.3813366
31315,7488,11.96,626.0869565
7924,7534,12.048,625.3320053
15695,337,0.539,625.2319109
2557,4491,7.186,624.9652101
93291,52849,84.617,624.5671674
32084,29729,47.611,624.4145261
32526,36297,58.167,624.013616
6403,6033,9.671,623.8238031
22901,32532,52.155,623.7561116
39208,31371,50.296,623.727533
53144,27256,43.708,623.5929349
34275,16245,26.055,623.4887737
27215,38807,62.249,623.4156372
78747,14808,23.765,623.1011992
21742,31444,50.466,623.07296
4096,8349,13.405,622.8273032
4412,9482,15.238,622.2601391
17080,298,0.479,622.1294363
6335,6729,10.828,621.4444034
33921,1720,2.769,621.1628747
61611,25268,40.737,620.2714977
12077,6246,10.086,619.2742415
74132,7543,12.181,619.2430835
19320,52342,84.541,619.1315456
15660,323,0.522,618.7739464
53558,10742,17.362,618.7075222
13502,33257,53.762,618.5967784
4110,1391,2.249,618.4971098
36054,15066,24.37,618.2191219
40434,34,0.055,618.1818182
45809,157,0.254,618.1102362
10926,3203,5.183,617.9818638
17584,8957,14.496,617.8945916
98229,30321,49.075,617.8502292
47803,21102,34.175,617.46891
55318,25493,41.29,617.4134173
17884,305,0.494,617.4089069
49534,21570,34.962,616.9555517
6262,586,0.951,616.1934805
44285,85,0.138,615.942029
26030,516,0.838,615.75179
20169,19801,32.172,615.4730822
87105,57680,93.741,615.3124033
1079,692,1.125,615.1111111
4063,412,0.67,614.9253731
17543,42626,69.328,614.8453727
15009,15082,24.53,614.8389727
17547,7378,12.001,614.7821015
89706,19510,31.753,614.4301326
12471,215,0.35,614.2857143
1062,11150,18.153,614.2235443
43940,377,0.614,614.0065147
16113,448,0.73,613.6986301
57701,43462,70.824,613.6620355
20319,84,0.137,613.1386861
18640,17155,27.981,613.0945999
4107,8980,14.651,612.9274452
30813,30415,49.657,612.5017621
14537,207,0.338,612.4260355
78123,2397,3.914,612.4169647
43905,237,0.387,612.4031008
7416,5781,9.453,611.5518883
18706,16105,26.337,611.4971333
14203,1618,2.648,611.0271903
76262,27648,45.319,610.0752444
91361,20438,33.513,609.8528929
19492,717,1.176,609.6938776
80514,4106,6.739,609.289212
624,26241,43.164,607.9371699
28637,1746,2.873,607.7271145
28638,12302,20.259,607.23629
53024,16579,27.307,607.133702
57110,12309,20.276,607.0724009
27012,25461,41.947,606.980237
3811,6753,11.131,606.6840356
48706,40596,66.993,605.9737585
32256,38483,63.527,605.7739229
70403,26011,42.954,605.5547795
84404,56363,93.183,604.8635481
29665,127,0.21,604.7619048
44001,20769,34.349,604.6464235
37660,40038,66.226,604.5661825
95076,82474,136.501,604.2007018
1519,6595,10.916,604.1590326
73705,267,0.442,604.0723982
82001,35484,58.765,603.8288097
12198,7903,13.099,603.3284984
3055,15086,25.012,603.1504878
21136,33781,56.026,602.9522008
70460,22096,36.651,602.8757742
94954,37365,61.994,602.719618
47420,135,0.224,602.6785714
10964,1472,2.443,602.5378633
2649,14006,23.253,602.330882
8720,843,1.4,602.1428571
55341,2850,4.736,601.7736486
1583,7591,12.618,601.6008876
51008,151,0.251,601.5936255
37129,49103,81.626,601.5607772
66782,178,0.296,601.3513514
15005,9450,15.717,601.2597824
2568,4000,6.653,601.2325267
17319,10417,17.339,600.784359
43717,164,0.273,600.7326007
33556,22015,36.661,600.5018957
19348,22232,37.024,600.4753673
698,41782,69.619,600.1522573
15030,1128,1.88,600
33838,3515,5.859,599.931729
12401,35040,58.448,599.5072543
31313,40302,67.27,599.1080719
46012,19414,32.431,598.6247726
85054,5384,8.998,598.35519
12008,497,0.831,598.0746089
54313,35897,60.021,598.0740074
83687,29697,49.722,597.2607699
40515,33595,56.265,597.0852217
60010,44095,73.854,597.0563544
61102,20538,34.417,596.7399831
20616,5857,9.817,596.6181114
60914,29107,48.787,596.6138521
27712,20035,33.584,596.5638399
48114,19702,33.044,596.2353226
20772,42625,71.521,595.9788034
23436,942,1.582,595.448799
48356,8407,14.119,595.4387705
44440,4967,8.345,595.2067106
31328,3306,5.555,595.139514
93307,82658,138.893,595.1199844
2635,3296,5.539,595.0532587
12306,25636,43.092,594.9132089
97045,51359,86.343,594.8252898
95301,37073,62.344,594.652252
35473,14909,25.076,594.5525602
98607,27899,46.941,594.3418334
29642,29561,49.743,594.2745713
17318,344,0.579,594.1278066
11719,3589,6.051,593.1251033
78255,10826,18.257,592.9780358
15074,8874,14.973,592.6668002
27539,18692,31.548,592.4939774
15905,21226,35.841,592.2267794
64801,34753,58.707,591.9736999
25126,58,0.098,591.8367347
12518,5870,9.92,591.733871
16633,200,0.338,591.7159763
30284,55,0.093,591.3978495
65327,227,0.384,591.1458333
15066,12785,21.631,591.0498821
48161,26470,44.799,590.8614032
72762,35342,59.877,590.2433322
28325,508,0.861,590.0116144
39581,11595,19.655,589.9262274
66609,7068,11.984,589.7863818
17865,92,0.156,589.7435897
8534,12929,21.929,589.5845684
2360,56271,95.486,589.3115221
36608,36864,62.558,589.2771508
735,13730,23.309,589.042859
2650,848,1.44,588.8888889
44141,13945,23.689,588.6698468
38622,705,1.198,588.4808013
84326,1763,2.996,588.4512684
718,26606,45.24,588.1078691
53179,6310,10.739,587.5779868
26534,789,1.343,587.4906925
13041,10705,18.235,587.0578558
44251,850,1.448,587.0165746
30115,35672,60.781,586.8939307
53718,11753,20.044,586.360008
34223,16875,28.783,586.2835702
64086,21925,37.411,586.0575766
7419,9160,15.63,586.0524632
50432,252,0.43,586.0465116
98939,167,0.285,585.9649123
21902,471,0.804,585.8208955
16344,523,0.893,585.6662934
48458,20538,35.082,585.4284248
62610,199,0.34,585.2941176
22408,26851,45.905,584.9253894
63140,294,0.503,584.4930417
43913,1490,2.55,584.3137255
55150,198,0.339,584.0707965
1540,11291,19.345,583.6650297
70401,20415,34.985,583.5358011
98271,27184,46.585,583.5354728
21078,17603,30.174,583.383045
53044,2297,3.938,583.2910107
64029,16574,28.425,583.0782762
66049,25957,44.523,583.0020439
33449,10817,18.554,583.0009701
3053,23957,41.094,582.9804838
28465,6531,11.204,582.9168154
97147,408,0.7,582.8571429
27896,20130,34.567,582.3473255
70461,27818,47.848,581.3827119
29377,761,1.309,581.3598167
47865,79,0.136,580.8823529
17880,72,0.124,580.6451613
2645,9663,16.643,580.6044583
707,12225,21.066,580.3189974
87417,6910,11.908,580.2821633
18069,8017,13.822,580.0173636
48178,29320,50.56,579.9050633
49423,44977,77.607,579.5482366
15315,776,1.339,579.5369679
76549,44490,76.772,579.508154
96148,788,1.36,579.4117647
24014,16570,28.602,579.3301168
95961,26510,45.768,579.2256598
35114,7172,12.401,578.3404564
25314,14542,25.155,578.095806
8691,15104,26.128,578.0771586
25405,12029,20.817,577.8450305
28306,39683,68.682,577.7787484
3841,6334,10.964,577.7088654
98339,3326,5.758,577.6311219
16027,306,0.53,577.3584906
35004,10427,18.071,577.0018261
18925,6195,10.74,576.8156425
25260,1577,2.734,576.810534
8327,3070,5.324,576.6341097
60029,482,0.836,576.5550239
17081,352,0.611,576.1047463
45350,106,0.184,576.0869565
77032,12757,22.17,575.4172305
70714,19803,34.441,574.9833048
46184,11806,20.535,574.9208668
33896,6633,11.542,574.6837636
29625,27538,47.933,574.5102539
18923,998,1.738,574.2232451
11960,1084,1.888,574.1525424
65714,29818,51.94,574.0854832
38017,48642,84.744,573.9875389
14425,10717,18.678,573.7766356
17748,300,0.523,573.6137667
60115,46272,80.73,573.1698253
15022,10340,18.059,572.5676948
8361,17352,30.33,572.1068249
2835,5405,9.448,572.0787468
18702,40295,70.445,572.0065299
64012,27260,47.691,571.596318
61340,292,0.511,571.4285714
43951,84,0.147,571.4285714
98342,1370,2.399,571.0712797
5850,231,0.405,570.3703704
95240,47172,82.705,570.3645487
14856,215,0.377,570.2917772
60081,10079,17.68,570.0791855
2767,13566,23.799,570.0239506
6376,57,0.1,570
39272,12551,22.024,569.8783146
34951,14115,24.779,569.6355785
53153,2328,4.087,569.6109616
1748,14925,26.225,569.1134414
45642,33,0.058,568.9655172
28704,18821,33.081,568.936852
45721,29,0.051,568.627451
83852,884,1.555,568.488746
12722,158,0.278,568.3453237
4841,7297,12.842,568.2136739
21054,10127,17.824,568.1665171
15010,28425,50.052,567.9093743
28652,46,0.081,567.9012346
85746,43057,75.822,567.8694838
6426,3245,5.717,567.6053874
92562,62079,109.405,567.4237923
66217,5319,9.378,567.1785029
6482,11557,20.381,567.0477405
54160,253,0.447,565.9955257
34480,19068,33.717,565.5307412
32908,10892,19.277,565.0256783
33947,8180,14.481,564.8781162
46360,43625,77.331,564.1334006
48896,154,0.273,564.1025641
44438,4751,8.434,563.315153
6444,370,0.657,563.1659056
8758,7043,12.512,562.8996164
16105,15448,27.449,562.7891726
45801,25303,44.967,562.7015367
21666,12309,21.881,562.5428454
14092,11086,19.708,562.5126852
40854,1213,2.157,562.3551229
44614,12595,22.398,562.3269935
18056,943,1.677,562.3136553
56369,528,0.939,562.3003195
46077,24512,43.594,562.2792127
43722,420,0.747,562.248996
46933,6414,11.409,562.1877465
77304,21314,37.915,562.1521825
61372,145,0.258,562.0155039
50327,10467,18.625,561.9865772
17042,37133,66.136,561.4642555
34288,10856,19.339,561.352707
45662,30219,53.84,561.2741456
35811,25955,46.243,561.2741388
43939,513,0.914,561.2691466
44815,637,1.135,561.2334802
28590,23407,41.721,561.0364085
23803,40542,72.267,561.0029474
6332,258,0.46,560.8695652
53058,3243,5.783,560.7816012
98502,30491,54.375,560.754023
12159,7896,14.09,560.397445
93953,4509,8.047,560.3330434
45418,1351,2.412,560.1160862
34476,20862,37.249,560.0687267
57108,17267,30.848,559.7445539
43111,225,0.402,559.7014925
7871,21165,37.825,559.5505618
24851,419,0.749,559.4125501
2743,10307,18.429,559.2815671
93665,472,0.844,559.2417062
53029,20799,37.195,559.1880629
30475,52,0.093,559.1397849
61324,109,0.195,558.974359
46614,29573,52.916,558.8668834
95467,5498,9.843,558.5695418
29707,17742,31.765,558.5392728
21163,7026,12.587,558.1949631
94304,3627,6.5,558
30016,51140,91.681,557.8036889
15668,13139,23.56,557.6825127
77362,4600,8.255,557.2380376
84044,26524,47.6,557.2268908
20615,405,0.727,557.0839065
26369,762,1.368,557.0175439
2646,1676,3.011,556.6257057
1944,5136,9.229,556.5066638
85338,41115,73.894,556.4051208
15547,504,0.906,556.2913907
78550,53152,95.592,556.0297933
22623,670,1.206,555.5555556
21105,65,0.117,555.5555556
42410,1460,2.629,555.3442374
90058,3223,5.807,555.0198037
7939,228,0.411,554.7445255
98439,4839,8.729,554.3590331
13341,102,0.184,554.3478261
3052,8258,14.897,554.3398
15401,32288,58.248,554.3194616
78147,1919,3.463,554.1438059
35124,23020,41.561,553.8846515
30720,26895,48.561,553.8395008
19352,10622,19.193,553.4309384
49629,2223,4.017,553.3980583
29365,10146,18.341,553.1868491
53189,26228,47.427,553.0183229
13113,287,0.519,552.9865125
95675,381,0.689,552.9753266
91042,27585,49.886,552.9607505
15420,251,0.454,552.8634361
61258,204,0.369,552.8455285
12538,14578,26.374,552.7413362
32218,53473,96.753,552.6753692
685,42831,77.533,552.4228393
62526,34075,61.687,552.3854297
22405,29152,52.797,552.1525844
68133,9703,17.576,552.0596268
92570,53697,97.309,551.8194617
87507,45890,83.181,551.6884866
44690,166,0.301,551.4950166
35210,13952,25.307,551.3099143
18031,7528,13.657,551.219155
32697,253,0.459,551.1982571
62232,7260,13.174,551.0854714
50620,54,0.098,551.0204082
37663,14617,26.529,550.9819443
88005,27116,49.228,550.8247339
12866,36915,67.02,550.8057296
80914,386,0.701,550.6419401
97089,11986,21.775,550.4477612
52166,104,0.189,550.2645503
10526,1809,3.289,550.0152022
16001,40371,73.431,549.7814275
17552,17831,32.438,549.6948024
85745,37006,67.324,549.6702513
18055,11780,21.435,549.5684628
22655,19328,35.189,549.2625536
27263,21414,38.997,549.119163
95380,41201,75.07,548.8344212
63301,48514,88.397,548.8195301
74446,558,1.017,548.6725664
10980,13383,24.392,548.6634962
83702,22293,40.637,548.5887246
11972,1321,2.408,548.5880399
97071,28803,52.506,548.5658782
30214,28913,52.725,548.3736368
14035,125,0.228,548.245614
30756,74,0.135,548.1481481
1982,7764,14.177,547.6475982
48182,21708,39.651,547.4767345
64150,3048,5.57,547.2172352
32034,31008,56.692,546.9554787
1542,2202,4.026,546.9448584
1571,11390,20.832,546.7549923
78579,4580,8.377,546.735108
42533,802,1.467,546.6939332
26451,685,1.253,546.6879489
63070,7438,13.614,546.3493463
15051,461,0.844,546.2085308
97322,34039,62.323,546.1707556
18063,548,1.004,545.8167331
78730,7955,14.577,545.7227139
75032,27986,51.308,545.4510018
20166,9521,17.457,545.3972618
70726,50583,92.778,545.2046821
2879,20371,37.373,545.072646
98315,6054,11.109,544.9635431
16682,117,0.215,544.1860465
18330,8927,16.412,543.9312698
59414,904,1.662,543.9229844
53590,36294,66.796,543.3558896
15071,9956,18.324,543.3311504
32780,34628,63.774,542.9798978
26050,1575,2.902,542.7291523
44022,16516,30.432,542.7181914
2878,15780,29.08,542.6409904
55902,21968,40.486,542.607321
15904,16608,30.644,541.9658008
75146,17993,33.2,541.9578313
2659,1108,2.045,541.809291
17064,645,1.191,541.5617128
48371,23155,42.782,541.232294
30011,14402,26.61,541.2251033
12027,3882,7.174,541.1207137
98513,31975,59.099,541.0413036
20601,24156,44.652,540.9836066
36201,20156,37.263,540.9118965
46259,11617,21.477,540.9042231
84092,29525,54.618,540.572705
10509,19507,36.086,540.56975
78419,694,1.284,540.4984424
2638,3207,5.934,540.4448938
1460,8924,16.516,540.3245338
23603,3899,7.217,540.2521823
15024,9029,16.716,540.1411821
6795,14144,26.208,539.6825397
28076,722,1.338,539.6113602
92344,20769,38.502,539.4265233
55808,5846,10.839,539.3486484
55376,16242,30.121,539.2251253
34138,359,0.666,539.039039
37920,39087,72.519,538.989782
2655,3518,6.529,538.8267729
34291,7125,13.227,538.6709004
1952,8283,15.378,538.6266094
28531,1207,2.241,538.5988398
13057,14992,27.856,538.1964388
4359,388,0.721,538.1414702
17022,29602,55.015,538.0714351
7422,6616,12.297,538.0174026
97330,41472,77.094,537.9406958
37615,19560,36.375,537.7319588
21781,136,0.253,537.5494071
23801,3393,6.313,537.4623792
20695,6794,12.644,537.3299589
6831,14792,27.53,537.3047584
53947,137,0.255,537.254902
15313,377,0.702,537.037037
97140,23474,43.717,536.9535878
45042,26451,49.334,536.1616735
91381,20158,37.615,535.9032301
35803,25471,47.543,535.7465873
62521,35851,66.929,535.657189
15921,176,0.329,534.9544073
43616,20873,39.04,534.6567623
60141,224,0.419,534.6062053
18653,132,0.247,534.4129555
98595,2917,5.459,534.34695
68016,413,0.773,534.2820181
18708,8817,16.505,534.201757
15143,19660,36.809,534.1085061
43736,55,0.103,533.9805825
78253,29007,54.337,533.83514
79423,32277,60.498,533.5217693
63385,35750,67.026,533.3751082
95435,82,0.154,532.4675325
96762,6419,12.056,532.4319841
28613,22759,42.757,532.2871109
15001,31964,60.056,532.2365792
54703,42272,79.428,532.2052677
94930,8500,15.977,532.0147712
21405,544,1.023,531.769306
11942,4603,8.659,531.5856334
49426,33244,62.546,531.5128066
10917,1968,3.706,531.0307609
30157,45123,85.014,530.7714024
12411,497,0.937,530.416222
18944,24479,46.16,530.3076256
26323,602,1.137,529.4635004
89135,24144,45.602,529.4504627
20759,3355,6.342,529.0129297
32820,7974,15.074,528.9903144
16148,16959,32.066,528.8779393
12586,12540,23.714,528.8015518
45002,13388,25.333,528.4806379
95005,6311,11.942,528.4709429
43055,59605,112.82,528.3194469
15683,8248,15.615,528.2100544
72139,216,0.409,528.1173594
37938,17085,32.351,528.113505
13643,19,0.036,527.7777778
1002,29049,55.064,527.5497603
42104,29610,56.13,527.5253875
63868,838,1.589,527.375708
72715,15051,28.557,527.0511608
2571,10481,19.89,526.9482152
28575,316,0.6,526.6666667
66763,3369,6.397,526.6531186
33974,11982,22.76,526.4499121
25419,9251,17.576,526.3427401
27803,21227,40.33,526.3327548
92883,29301,55.691,526.1352822
769,40248,76.514,526.0213817
76708,24476,46.538,525.9357944
85756,35703,67.899,525.8251226
11971,5818,11.066,525.7545635
25849,266,0.506,525.6916996
33570,20758,39.49,525.6520638
62949,810,1.541,525.632706
21628,556,1.058,525.5198488
30228,38569,73.401,525.4560565
53158,15917,30.31,525.1402177
8801,8551,16.292,524.8588264
15482,604,1.151,524.7610773
48604,13074,24.93,524.4283995
93108,11112,21.201,524.1262205
54311,33580,64.1,523.8689548
53181,7357,14.046,523.7790118
15640,378,0.722,523.5457064
15698,791,1.511,523.4943746
18231,535,1.023,522.971652
34446,16326,31.224,522.8670254
27360,46084,88.143,522.8322158
43920,23438,44.87,522.3534656
6266,495,0.948,522.1518987
98370,29528,56.596,521.7329847
52767,349,0.669,521.6741405
70528,2333,4.476,521.2243074
2836,136,0.261,521.0727969
39342,1287,2.471,520.8417645
44274,225,0.432,520.8333333
55029,38,0.073,520.5479452
12533,25307,48.617,520.5380834
83686,46224,88.825,520.3940332
29624,14610,28.08,520.2991453
18951,34651,66.625,520.0900563
55372,29811,57.347,519.8353881
77406,33682,64.881,519.1350318
8555,877,1.69,518.9349112
62279,69,0.133,518.7969925
96765,553,1.066,518.7617261
61101,21593,41.635,518.6261559
93422,31375,60.51,518.5093373
8062,15756,30.392,518.4259016
33917,28666,55.3,518.3725136
17851,7841,15.132,518.1734073
21804,38491,74.298,518.0623974
54637,187,0.361,518.0055402
89027,15275,29.494,517.9019462
35068,7232,13.967,517.7919381
37312,30962,59.809,517.6812854
93638,49068,94.821,517.480305
53012,18097,35.009,516.9242195
33036,3035,5.876,516.5078285
32509,660,1.278,516.4319249
65686,4920,9.528,516.372796
19425,13922,26.963,516.3372028
8759,33263,64.445,516.1455505
15421,112,0.217,516.1290323
21920,257,0.498,516.064257
41538,97,0.188,515.9574468
2537,6293,12.203,515.6928624
74546,824,1.599,515.3220763
48162,29344,56.952,515.2409046
29152,2393,4.647,514.9558855
8056,4736,9.197,514.9505273
78402,536,1.041,514.8895293
6883,10179,19.773,514.7928994
26568,679,1.32,514.3939394
18447,10548,20.511,514.2606406
19390,13425,26.111,514.151124
52220,237,0.461,514.0997831
46303,14170,27.569,513.983097
72076,37979,73.893,513.9729068
2633,3884,7.557,513.9605664
67060,13733,26.741,513.5559628
1022,2451,4.773,513.5135135
31547,1293,2.518,513.50278
68010,745,1.451,513.4390076
29667,269,0.524,513.3587786
17742,39,0.076,513.1578947
23709,78,0.152,513.1578947
61338,284,0.554,512.6353791
6409,693,1.353,512.195122
4234,168,0.328,512.195122
81030,193,0.377,511.9363395
60410,12687,24.787,511.8408843
29334,11331,22.146,511.6499594
1983,6089,11.908,511.3369164
18344,3589,7.019,511.3263998
37069,18899,36.975,511.1291413
55085,417,0.816,511.0294118
8326,1761,3.447,510.8790252
62811,310,0.607,510.708402
8020,2201,4.313,510.3176443
6488,19904,39.005,510.2935521
72123,450,0.882,510.2040816
97304,28454,55.791,510.0105752
84780,18756,36.787,509.8540245
55373,5600,10.984,509.8324836
11568,4555,8.935,509.7929491
10921,4135,8.114,509.6130145
30620,12486,24.506,509.5078756
63005,17753,34.847,509.4556203
1463,11497,22.581,509.1448563
74130,2065,4.056,509.122288
7945,9539,18.745,508.8823686
25704,16441,32.311,508.8360001
2748,11442,22.49,508.7594486
27517,23346,45.895,508.6828631
2671,1023,2.012,508.4493042
29073,40775,80.196,508.4418175
3087,13592,26.744,508.2261442
17855,992,1.952,508.1967213
21704,13321,26.213,508.1829627
35749,20575,40.514,507.8491386
99353,13306,26.205,507.7656936
37311,27373,53.92,507.6594955
14850,63886,125.962,507.1847065
27587,53078,104.656,507.1663354
80516,20254,39.94,507.110666
68122,9794,19.342,506.3592183
49852,120,0.237,506.3291139
32128,16910,33.415,506.0601526
62010,11186,22.127,505.5362227
6443,18269,36.148,505.3944893
22903,38229,75.655,505.3069857
62201,7547,14.937,505.255406
15750,245,0.485,505.1546392
52002,14559,28.838,504.8547056
73066,417,0.826,504.842615
95650,12447,24.656,504.8264114
17370,5683,11.258,504.7965891
21638,4934,9.776,504.705401
2093,10955,21.706,504.6991615
45111,376,0.745,504.6979866
94037,2913,5.773,504.5903343
20762,2973,5.892,504.5824847
21047,11873,23.539,504.3969582
78243,235,0.466,504.2918455
37932,14527,28.823,504.0072165
71291,32644,64.824,503.5789214
87567,1634,3.247,503.2337542
10590,6767,13.453,503.0104809
28512,2896,5.759,502.8650807
50014,28094,55.87,502.8458922
32068,50815,101.091,502.6659149
18507,4891,9.734,502.4655845
21032,8848,17.622,502.0996482
14031,9392,18.717,501.7898167
2061,10506,20.945,501.5994271
21071,497,0.991,501.5136226
62711,15347,30.638,500.9138978
73151,1446,2.887,500.8659508
76502,31545,62.988,500.809678
15546,386,0.771,500.6485084
29566,15179,30.335,500.3791
17540,9791,19.573,500.2299085
19535,23,0.046,500
12804,26540,53.086,499.9434879
70084,7552,15.114,499.6691809
12019,14740,29.501,499.6440799
17701,44661,89.446,499.3068444
19706,1822,3.652,498.9047097
48423,32708,65.57,498.8256825
96786,40859,81.988,498.3534176
52302,36980,74.208,498.3290211
27520,36357,72.98,498.1775829
49628,372,0.747,497.9919679
76542,40025,80.417,497.7181442
78362,9447,18.992,497.4199663
52657,95,0.191,497.382199
95404,39761,79.981,497.1305685
76706,35015,70.485,496.7723629
83854,37245,75.025,496.4345218
8528,315,0.635,496.0629921
46816,18116,36.535,495.8532914
47906,66972,135.083,495.7840735
17934,469,0.946,495.7716702
12821,2750,5.548,495.6741168
21502,44400,89.6,495.5357143
60124,18935,38.222,495.3953221
62921,375,0.757,495.3764861
99016,12480,25.204,495.1594985
97702,40583,81.976,495.0595296
49261,290,0.586,494.8805461
15484,328,0.663,494.7209653
47401,41011,82.918,494.5970718
63767,655,1.325,494.3396226
37914,19663,39.79,494.1693893
